WardName,Population,Address
千代田区,61420,千代田区九段南1-2-1
中央区,157484,中央区築地1-1-1
港区,253940,港区芝公園1-5-25
新宿区,343494,新宿区歌舞伎町1-4-1
文京区,227224,文京区春日1-16-21
台東区,203219,台東区東上野4-5-6
墨田区,264515,墨田区吾妻橋1-23-20
江東区,510692,江東区東陽4-11-28
品川区,398732,品川区広町2-1-36
目黒区,283153,目黒区上目黒2-19-15
大田区,728437,大田区蒲田5-13-14
世田谷区,921708,世田谷区世田谷4-21-27
渋谷区,229994,渋谷区宇田川町1-1
中野区,335813,中野区中野4-8-1
杉並区,575691,杉並区阿佐谷南1-15-1
豊島区,297946,豊島区南池袋2-45-1
北区,348274,北区王子本町1-15-22
荒川区,216098,荒川区荒川2-2-3
板橋区,573966,板橋区板橋2-66-1
練馬区,731360,練馬区豊玉北6-12-1
足立区,677536,足立区中央本町1-17-1
葛飾区,450815,葛飾区立石5-13-1
江戸川区,690614,江戸川区中央1-4-1
